Lokacija;Tip;Broj katova;Broj soba;Kat;Kvadratura;Cijena
Primorsko-goranska, Rijeka, Brajda;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;57,00 m²;;;;125.000 €
Istarska, Umag, Zambratija;U stambenoj zgradi;Jednoetažni;2-sobni;Prizemlje;;65,62 m²;;;;;;;;;249.356 €
Grad Zagreb, Gornja Dubrava, Klaka;U stambenoj zgradi;Jednoetažni;1-sobni;5.;27,00 m²;;76.000 €
Grad Zagreb, Donja Dubrava, Trnava;U stambenoj zgradi;Jednoetažni;2-sobni;Prizemlje;;60,44 m²;;;134.992 €
Grad Zagreb, Donja Dubrava, Trnava;U stambenoj zgradi;Jednoetažni;4-sobni;2.;;96,34 m²;;;245.667 €
Primorsko-goranska, Malinska-Dubašnica, Bogovići;U stambenoj zgradi;Jednoetažni;3-sobni;1.;76,97 m²;;;;285.000 €
Grad Zagreb, Gornja Dubrava, Studentski grad;;U stambenoj zgradi;Jednoetažni;2-sobni;3.;48,59 m²;;;160.347 €
Grad Zagreb, Gornja Dubrava, Studentski grad;;U stambenoj zgradi;Jednoetažni;3-sobni;5.;63,86 m²;;;204.352 €
Grad Zagreb, Maksimir, Maksimir;;U stambenoj zgradi;Jednoetažni;4-sobni;Suteren;;85,00 m²;;;;;;;300.000 €
Grad Zagreb, Stenjevec, Malešnica;;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;70,00 m²;;;;;;;;200.000 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;3-sobni;1.;;65,15 m²;;;;;;170.259 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;3-sobni;3.;;69,37 m²;;;;;;171.390 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;4-sobni;2.;;82,21 m²;;;;;;;201.879 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;3-sobni;1.;;69,66 m²;;;;;;175.308 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;5+ sobni;3.;;197,30 m²;;;;;;;;351.000 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;63,37 m²;;;;;;169.737 €
Grad Zagreb, Peščenica - Žitnjak, Vukomerec;;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;69,66 m²;;;;;;175.308 €
Primorsko-goranska, Rijeka, Zamet;U stambenoj zgradi;Jednoetažni;3-sobni;1.;;60,21 m²;;;;;;;230.000 €
Primorsko-goranska, Rijeka, Zamet;U stambenoj zgradi;Jednoetažni;3-sobni;3.;;60,21 m²;;;;;;;240.000 €
Primorsko-goranska, Rijeka, Zamet;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;60,21 m²;;;;;;;235.000 €
Primorsko-goranska, Rijeka, Zamet;U stambenoj zgradi;Jednoetažni;3-sobni;2.;;65,24 m²;;;;;;;255.000 €
Primorsko-goranska, Rijeka, Zamet;U stambenoj zgradi;Jednoetažni;3-sobni;3.;;60,21 m²;;;;;;;240.000 €
Primorsko-goranska, Rab, Kampor;U stambenoj zgradi;Jednoetažni;Garsonijera;1.;;21,16 m²;;;;;;;57.000 €
Primorsko-goranska, Rijeka, Centar;U stambenoj zgradi;Jednoetažni;3-sobni;3.;;99,18 m²;;;;;237.000 €
Primorsko-goranska, Opatija, Opatija - Centar;U stambenoj zgradi;Jednoetažni;2-sobni;1.;;117,00 m²;;;;;;750.000 €
