price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url
170.000 €,,,Split,U stambenoj zgradi,Jednoetažni,2-sobni,1.,56,https://www.njuskalo.hr/nekretnine/prostran-2-soban-stan-56.61-m2-prvom-katu-zgrade-brda-split-oglas-42107191
341.000 €,,,Seget,U stambenoj zgradi,Jednoetažni,3-sobni,3.,91,https://www.njuskalo.hr/nekretnine/prodaja-3-soban-stan-izgradnji-pogledom-more-seget-donji-oglas-41877228
332.000 €,,,Seget,U stambenoj zgradi,Jednoetažni,3-sobni,2.,91,https://www.njuskalo.hr/nekretnine/prodaja-3-soban-stan-novogradnja-92-m2-2-red-mora-seget-donji-oglas-41877136
250.000 €,,,Kaštela,U stambenoj zgradi,Dvoetažni,2-sobni,,62,https://www.njuskalo.hr/nekretnine/prostran-dvosoban-stan-krovnom-terasom-moderna-zgrada-oglas-41662248
195.000 €,,,Kaštela,U stambenoj zgradi,Jednoetažni,3-sobni,1.,79,https://www.njuskalo.hr/nekretnine/stan-kastel-stari-79.00-m2-novogradnja-oglas-41625439
230.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,76,https://www.njuskalo.hr/nekretnine/prostran-2-soban-stan-vrtom-prizemlje-novogradnja-okrug-gornji-oglas-41240285
580.000 €,,,Okrug,U stambenoj zgradi,Dvoetažni,3-sobni,Penthouse,93,https://www.njuskalo.hr/nekretnine/prodaja-komforan-penthouse-otvorenim-pogledom-more-okrug-gornji-oglas-41047944
240.000 €,,,Split,U stambenoj zgradi,Jednoetažni,2-sobni,5.,61,https://www.njuskalo.hr/nekretnine/prodaja-dvosoban-stan-zadnjem-katu-split-61.79-m2-sukoisan-oglas-41001438
126.900 €,,,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,2-sobni,1.,53,https://www.njuskalo.hr/nekretnine/stan-zagreb-gajnice-53.00-m2-2.5-sobni-126-900-eura-oglas-40099963
139.000 €,,,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,71,https://www.njuskalo.hr/nekretnine/zagreb-gajnice-71.00-m2-3sobni-145-000-eu-oglas-41915924
105.000 €,,,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,5.,35,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-35.00-m2-5-kat-bez-lifta-105-tis-eu-oglas-40774858
183.000 €,,,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,2-sobni,3.,57,https://www.njuskalo.hr/nekretnine/stan-zagreb-rudes-54-m2-parking-189-tisuca-eura-novogradnja-oglas-41574857
158.000 €,,,Osijek,U stambenoj zgradi,Jednoetažni,4-sobni,1.,89,https://www.njuskalo.hr/nekretnine/urbana-vila-retfali-oglas-38141912
240.000 €,,,Trogir,U stambenoj zgradi,Jednoetažni,2-sobni,1.,55,https://www.njuskalo.hr/nekretnine/prodaja-komforan-stan-izgradnji-74.40-m2-trogir-ciovo-oglas-41095087
260.000 €,,,Trogir,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,55,https://www.njuskalo.hr/nekretnine/prodaje-se-dvosoban-stan-dvije-kupaonice-vrtom-trogir-ciovo-oglas-41074692
450.000 €,,,Okrug,U stambenoj zgradi,Dvoetažni,3-sobni,Penthouse,71,https://www.njuskalo.hr/nekretnine/prodaja-prostran-penthouse-otvorenim-pogledom-more-okrug-gornji-oglas-41047824
195.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,56,https://www.njuskalo.hr/nekretnine/stan-okrug-gornji-56.16-m2-novogradnja-oglas-41019379
220.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,1.,56,https://www.njuskalo.hr/nekretnine/stan-okrug-gornji-56.52-m2-novogradnja-oglas-41019256
215.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,56,https://www.njuskalo.hr/nekretnine/stan-okrug-gornji-56.52-m2-novogradnja-oglas-41001159
230.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,63,https://www.njuskalo.hr/nekretnine/prodaja-komforan-2-soban-stan-vrtom-novogradnja-okrug-gornji-oglas-40999326
215.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,56,https://www.njuskalo.hr/nekretnine/stan-okrug-gornji-56.00-m2-oglas-40999242
287.000 €,,,Seget,U stambenoj zgradi,Jednoetažni,2-sobni,1.,82,https://www.njuskalo.hr/nekretnine/prodaja-2-soban-stan-izgradnji-pogledom-more-seget-donji-oglas-40948657
322.000 €,,,Seget,U stambenoj zgradi,Jednoetažni,3-sobni,1.,91,https://www.njuskalo.hr/nekretnine/prodaja-3-soban-stan-izgradnji-pogledom-more-seget-donji-oglas-40905602
350.000 €,,,Okrug,U stambenoj zgradi,Dvoetažni,2-sobni,Penthouse,91,https://www.njuskalo.hr/nekretnine/prodaja-penthouse-otvorenim-pogledom-more-okrug-gornji-oglas-40771111
134.445 €,,,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,1.,37,https://www.njuskalo.hr/nekretnine/stan-zagreb-stenjevec-37.45-m2-novogradnja-oglas-40903431
